Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%
28,409,2,26.8,10.0,2.0,0.0,0.0,0.0,2.6,198.0,110.0,0.07,0.45,0.45,0.1,0.27,0.37,0.1,,,0.0,0.0,0.0,0.0
4,210,0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
0,11,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
4,347,0,3.9,0.0,0.0,0.0,0.0,0.0,0.3,7.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,,,0.0,0.0,0.0,0.0
10,901,0,10.0,0.0,0.0,0.0,0.0,0.0,0.3,43.0,5.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,,,0.0,0.0,0.0,0.0
29,532,1,28.1,2.0,1.0,0.0,0.0,0.0,0.9,55.0,117.0,0.04,0.11,0.11,0.03,0.15,0.18,0.03,,,0.0,0.0,0.0,0.0
10,971,0,10.8,0.0,0.0,0.0,0.0,0.0,0.5,20.0,5.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,,,0.0,0.0,0.0,0.0
14,279,3,14.2,7.0,3.0,0.0,0.0,0.0,3.1,119.0,119.0,0.21,0.7,0.7,0.22,0.5,0.72,0.22,,,0.0,0.0,0.0,0.0
29,344,12,26.0,2.0,10.0,2.0,2.0,0.0,9.0,30.0,101.0,0.46,0.54,0.46,0.35,0.07,0.42,0.29,,,0.0,0.0,0.0,0.0
23,046,0,22.7,0.0,0.0,0.0,0.0,0.0,1.3,60.0,27.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,,,0.0,0.0,0.0,0.0
Starts,Min,Gls,90s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
3,349,1,3.9,0.0,1.0,0.0,0.0,0.0,0.5,13.0,10.0,0.26,0.26,0.26,0.13,0.11,0.24,0.13,,,0.0,0.0,0.0,0.0
2,258,0,2.9,1.0,0.0,0.0,0.0,0.0,0.2,14.0,11.0,0.0,0.35,0.35,0.08,0.37,0.45,0.08,,,0.0,0.0,0.0,0.0
17,594,6,17.7,6.0,6.0,0.0,0.0,0.0,4.1,53.0,159.0,0.34,0.68,0.68,0.23,0.22,0.45,0.23,,,0.0,0.0,0.0,0.0
19,731,0,19.2,0.0,0.0,0.0,0.0,0.0,1.3,106.0,6.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,,,0.0,0.0,0.0,0.0
24,061,11,22.9,5.0,11.0,0.0,0.0,0.0,9.1,98.0,259.0,0.48,0.7,0.7,0.4,0.19,0.59,0.4,,,0.0,0.0,0.0,0.0
18,667,2,18.5,0.0,2.0,0.0,0.0,0.0,2.4,59.0,86.0,0.11,0.11,0.11,0.13,0.08,0.21,0.13,,,0.0,0.0,0.0,0.0
26,151,0,23.9,4.0,0.0,0.0,0.0,0.0,0.8,51.0,135.0,0.0,0.17,0.17,0.03,0.17,0.21,0.03,,,0.0,0.0,0.0,0.0
15,339,0,14.9,0.0,0.0,0.0,0.0,0.0,0.5,25.0,3.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,,,0.0,0.0,0.0,0.0
5,460,0,5.1,0.0,0.0,0.0,0.0,0.0,0.1,15.0,5.0,0.0,0.0,0.0,0.02,0.08,0.09,0.02,,,0.0,0.0,0.0,0.0
4,364,1,4.0,0.0,1.0,0.0,0.0,0.0,0.3,16.0,2.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,,,0.0,0.0,0.0,0.0
1,90,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
0,20,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
21,809,2,20.1,1.0,2.0,0.0,0.0,0.0,1.0,73.0,39.0,0.1,0.15,0.15,0.05,0.08,0.13,0.05,,,0.0,0.0,0.0,0.0
14,277,3,14.2,4.0,3.0,0.0,0.0,0.0,1.0,60.0,227.0,0.21,0.49,0.49,0.07,0.25,0.32,0.07,,,0.0,0.0,0.0,0.0
18,567,0,17.4,0.0,0.0,0.0,0.0,0.0,1.4,60.0,24.0,0.0,0.0,0.0,0.08,0.07,0.15,0.08,,,0.0,0.0,0.0,0.0
5,438,0,4.9,0.0,0.0,0.0,0.0,1.0,0.3,19.0,44.0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,,,0.0,0.0,0.0,0.0
0,14,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
27,245,3,24.9,1.0,3.0,0.0,0.0,1.0,3.6,70.0,87.0,0.12,0.16,0.16,0.14,0.09,0.23,0.14,,,0.0,0.0,0.0,0.0
4,452,0,5.0,0.0,0.0,0.0,0.0,0.0,0.4,19.0,7.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,,,0.0,0.0,0.0,0.0
19,611,1,17.9,0.0,1.0,0.0,0.0,0.0,0.6,55.0,26.0,0.06,0.06,0.06,0.03,0.05,0.08,0.03,,,0.0,0.0,0.0,0.0
3,488,0,5.4,1.0,0.0,0.0,0.0,0.0,0.6,40.0,4.0,0.0,0.18,0.18,0.1,0.09,0.2,0.1,,,0.0,0.0,0.0,0.0
14,252,0,13.9,0.0,0.0,0.0,0.0,0.0,0.1,37.0,2.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,,,0.0,0.0,0.0,0.0
