Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-040,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
Diego Gómez,203,pyPAR,MF,Brighton,22-028,2003,4.8,0,0,0,7,2,1,9,7,10,0,0,0,29,7,3,70.0,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-037,1999,31.0,5,0,0,40,9,4,65,37,39,0,1,0,164,38,21,64.4,Matches
Diogo Jota,266,ptPOR,FW,Liverpool,28-141,1996,11.9,2,0,0,18,12,1,8,6,7,1,0,0,38,21,28,42.9,Matches
Divin Mubama,359,engENG,FW,Manchester City,20-181,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Djed Spence,480,engENG,DF,Tottenham,24-258,2000,15.8,4,1,1,18,23,2,22,17,29,0,0,1,84,17,12,58.6,Matches
Dominic Calvert-Lewin,83,engENG,FW,Everton,28-039,1997,17.5,2,0,0,27,22,27,6,6,7,0,0,0,32,83,79,51.2,Matches
Dominic Solanke,474,engENG,FW,Tottenham,27-222,1997,22.8,0,0,0,36,36,5,4,0,11,0,0,1,37,41,55,42.7,Matches
Dominik Szoboszlai,493,huHUN,MF,Liverpool,24-181,2000,24.3,6,0,0,35,21,4,33,9,20,0,0,0,117,18,22,45.0,Matches
Donyell Malen,320,nlNED,FW,Aston Villa,26-105,1999,3.0,0,0,0,1,4,2,7,0,4,0,0,0,8,3,4,42.9,Matches
Dwight McNeil,338,engENG,"MF,FW",Everton,25-153,1999,12.9,1,0,0,6,13,1,91,5,6,0,0,0,64,3,14,17.6,Matches
Eberechi Eze,171,engENG,"MF,FW",Crystal Palace,26-299,1998,26.0,1,0,0,11,46,9,100,11,22,0,0,0,128,6,36,14.3,Matches
Eddie Nketiah,375,engENG,"FW,MF",Crystal Palace,25-329,1999,9.8,5,1,1,25,23,3,5,2,5,1,0,0,21,18,31,36.7,Matches
Ederson,153,brBRA,GK,Manchester City,31-250,1993,21.8,3,0,0,1,0,0,0,1,0,0,1,0,37,4,1,80.0,Matches
Edmond-Paris Maghoma,316,engENG,"MF,FW",Brentford,23-351,2001,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0,Matches
Edson Álvarez,18,mxMEX,MF,West Ham,27-182,1997,18.1,8,1,1,37,18,4,6,16,23,0,0,0,78,28,20,58.3,Matches
