Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Caleb Kporha,287,engENG,DF,Crystal Palace,18-283,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Caleb Okoli,388,itITA,DF,Leicester City,23-285,2001,18,12,"1,124",12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,Matches
Callum Hudson-Odoi,239,engENG,"FW,MF",Nott'ham Forest,24-168,2000,28,24,"2,107",23.4,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,126,66,186,0.21,0.09,0.30,0.21,0.30,0.11,0.11,0.22,0.11,0.22,Matches
Callum Wilson,552,engENG,FW,Newcastle Utd,33-056,1992,13,1,254,2.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,3,9,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-114,1999,31,30,"2,714",30.2,1,0,1,1,0,0,6,0,1.0,1.0,0.1,1.1,25,95,12,0.03,0.00,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.03,Matches
Cameron Archer,30,engENG,FW,Southampton,23-277,2001,30,13,"1,336",14.8,2,0,2,2,0,1,0,0,5.1,4.3,0.4,4.6,19,14,62,0.13,0.00,0.13,0.13,0.13,0.34,0.02,0.37,0.29,0.31,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-185,1995,15,13,"1,271",14.1,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.2,2,38,4,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09,Matches
Caoimhín Kelleher,274,ieIRL,GK,Liverpool,26-152,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-145,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-111,2004,29,26,"2,223",24.7,2,1,3,2,0,0,8,1,3.0,3.0,1.3,4.2,39,108,26,0.08,0.04,0.12,0.08,0.12,0.12,0.05,0.17,0.12,0.17,Matches
