Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-258,1997,23,14,"1,138",12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches
Lesley Ugochukwu,522,frFRA,MF,Southampton,21-029,2004,22,14,"1,357",15.1,1,1,2,1,0,0,5,0,0.8,0.8,1.0,1.8,24,47,19,0.07,0.07,0.13,0.07,0.13,0.05,0.07,0.12,0.05,0.12,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-057,2003,30,30,"2,699",30.0,1,1,2,1,0,0,8,0,1.3,1.3,1.1,2.5,13,122,11,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.08,0.04,0.08,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-080,1997,32,29,"2,707",30.1,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.0,33,152,48,0.03,0.10,0.13,0.03,0.13,0.03,0.14,0.17,0.03,0.17,Matches
Lewis Dunk,151,engENG,DF,Brighton,33-154,1991,23,21,"1,903",21.1,0,0,0,0,0,0,5,0,0.7,0.7,0.5,1.2,20,137,3,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
Lewis Hall,222,engENG,DF,Newcastle Utd,20-228,2004,27,24,"2,189",24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.00,0.16,0.16,0.00,0.16,0.02,0.18,0.19,0.02,0.19,Matches
Lewis Miley,345,engENG,MF,Newcastle Utd,18-358,2006,11,1,225,2.5,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,1,13,6,0.40,0.00,0.40,0.40,0.40,0.22,0.01,0.23,0.22,0.23,Matches
Lewis Orford,394,engENG,MF,West Ham,19-065,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Liam Delap,126,engENG,FW,Ipswich Town,22-075,2003,32,29,"2,354",26.2,12,2,14,10,2,2,8,0,9.0,7.4,1.9,9.3,58,30,101,0.46,0.08,0.54,0.38,0.46,0.35,0.07,0.42,0.28,0.36,Matches
Lisandro Martínez,327,arARG,DF,Manchester Utd,27-096,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches
Lloyd Kelly,275,engENG,DF,Newcastle Utd,26-200,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-081,2006,26,10,"1,122",12.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,31,49,29,0.00,0.08,0.08,0.00,0.08,0.06,0.05,0.10,0.06,0.10,Matches
Lucas Digne,134,frFRA,DF,Aston Villa,31-278,1993,30,27,"2,241",24.9,0,4,4,0,0,0,4,0,0.8,0.8,4.4,5.1,23,54,140,0.00,0.16,0.16,0.00,0.16,0.03,0.17,0.21,0.03,0.21,Matches
Lucas Paquetá,402,brBRA,"MF,FW",West Ham,27-240,1997,29,25,"2,167",24.1,4,0,4,2,2,2,8,0,5.2,3.6,3.0,6.6,20,129,81,0.17,0.00,0.17,0.08,0.08,0.21,0.13,0.34,0.15,0.27,Matches
Luis Díaz,132,coCOL,FW,Liverpool,28-101,1997,32,25,"2,150",23.9,11,5,16,11,0,0,2,0,9.2,9.2,4.9,14.1,102,102,265,0.46,0.21,0.67,0.46,0.67,0.39,0.20,0.59,0.39,0.59,Matches
Luis Guilherme,215,brBRA,"MF,FW",West Ham,19-074,2006,11,1,138,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,3,13,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.24,0.19,0.24,Matches
Luis Sinisterra,469,coCOL,"FW,MF",Bournemouth,25-311,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00,Matches
Luke Shaw,463,engENG,DF,Manchester Utd,29-286,1995,3,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34,Matches
Luke Thomas,502,engENG,DF,Leicester City,23-318,2001,9,8,693,7.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,2,23,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
Luke Woolfenden,559,engENG,DF,Ipswich Town,26-185,1998,13,10,"1,007",11.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mads Hermansen,233,dkDEN,GK,Leicester City,24-287,2000,26,26,"2,295",25.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mads Roerslev,437,dkDEN,DF,Brentford,25-304,1999,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Matches
Malo Gusto,219,frFRA,DF,Chelsea,21-340,2003,28,19,"1,819",20.2,0,1,1,0,0,0,4,0,1.7,1.7,1.2,2.9,48,118,84,0.00,0.05,0.05,0.00,0.05,0.08,0.06,0.15,0.08,0.15,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-279,1995,22,20,"1,711",19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Manuel Ugarte Ribeiro,521,uyURU,MF,Manchester Utd,24-013,2001,25,20,"1,590",17.7,1,0,1,1,0,0,9,0,0.8,0.8,0.6,1.4,10,53,19,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-276,1998,31,28,"2,538",28.2,4,1,5,4,0,0,10,1,2.2,2.2,1.8,4.0,30,97,106,0.14,0.04,0.18,0.14,0.18,0.08,0.06,0.14,0.08,0.14,Matches
Marc Guiu,217,esESP,FW,Chelsea,19-110,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Marc Guéhi,214,engENG,DF,Crystal Palace,24-285,2000,32,32,"2,879",32.0,3,2,5,3,0,0,9,1,1.9,1.9,1.2,3.1,22,126,8,0.09,0.06,0.16,0.09,0.16,0.06,0.04,0.10,0.06,0.10,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-093,1996,9,5,481,5.3,3,1,4,3,0,2,1,0,4.2,2.6,0.8,3.4,15,31,23,0.56,0.19,0.75,0.56,0.75,0.78,0.15,0.93,0.49,0.64,Matches
Marcos Senesi,461,arARG,DF,Bournemouth,27-349,1997,14,12,"1,008",11.2,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,12,51,5,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Marcus Harness,224,engENG,MF,Ipswich Town,29-059,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marcus Rashford,420,engENG,"FW,MF",Manchester Utd,27-175,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
Marcus Tavernier,496,engENG,"FW,MF",Bournemouth,26-033,1999,24,16,"1,561",17.3,3,5,8,3,0,0,5,0,5.2,5.2,2.8,8.1,37,99,103,0.17,0.29,0.46,0.17,0.46,0.30,0.16,0.46,0.30,0.46,Matches
Mario Lemina,296,gaGAB,"MF,DF",Wolves,31-235,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
Mark Flekken,181,nlNED,GK,Brentford,31-315,1993,32,32,"2,825",31.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Mark Travers,514,ieIRL,GK,Bournemouth,25-341,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marshall Munetsi,361,zwZIM,"MF,FW",Wolves,28-306,1996,9,8,698,7.8,1,1,2,1,0,0,0,0,3.0,3.0,0.9,3.8,4,7,23,0.13,0.13,0.26,0.13,0.26,0.38,0.11,0.50,0.38,0.50,Matches
Martial Godo,199,engENG,FW,Fulham,22-041,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martin Dúbravka,150,skSVK,GK,Newcastle Utd,36-099,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martin Ødegaard,567,noNOR,MF,Arsenal,26-128,1998,26,23,"2,040",22.7,2,6,8,1,1,1,4,0,4.4,3.7,4.6,8.2,79,231,142,0.09,0.26,0.35,0.04,0.31,0.20,0.20,0.40,0.16,0.36,Matches
Mason Holgate,238,engENG,"FW,DF",Everton,28-184,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mason Mount,358,engENG,"MF,FW",Manchester Utd,26-104,1999,12,4,348,3.9,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.4,7,15,15,0.00,0.00,0.00,0.00,0.00,0.32,0.05,0.37,0.32,0.37,Matches
Massimo Luongo,310,auAUS,MF,Ipswich Town,32-211,1992,8,2,191,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mateo Kovačić,286,hrCRO,MF,Manchester City,30-353,1994,28,22,"1,960",21.8,6,1,7,6,0,0,5,0,1.7,1.7,3.5,5.2,51,142,15,0.28,0.05,0.32,0.28,0.32,0.08,0.16,0.24,0.08,0.24,Matches
Mateus Fernandes,179,ptPOR,MF,Southampton,20-288,2004,31,29,"2,499",27.8,2,3,5,2,0,0,8,0,3.7,3.7,2.6,6.3,71,127,97,0.07,0.11,0.18,0.07,0.18,0.13,0.09,0.23,0.13,0.23,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-332,1999,28,25,"2,253",25.0,14,4,18,14,0,0,3,0,7.3,7.3,6.8,14.1,95,119,141,0.56,0.16,0.72,0.56,0.72,0.29,0.27,0.56,0.29,0.56,Matches
Matheus França,186,brBRA,"FW,MF",Crystal Palace,21-023,2004,2,0,26,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,3.46,0.00,3.46,3.46,3.46,0.43,0.00,0.43,0.43,0.43,Matches
Matheus Nunes,378,ptPOR,"DF,MF",Manchester City,26-240,1998,23,16,"1,404",15.6,1,5,6,1,0,0,4,0,0.9,0.9,4.2,5.1,56,66,151,0.06,0.32,0.38,0.06,0.38,0.06,0.27,0.33,0.06,0.33,Matches
Mathias Jensen,255,dkDEN,MF,Brentford,29-113,1996,19,8,770,8.6,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,6,55,26,0.00,0.23,0.23,0.00,0.23,0.03,0.19,0.22,0.03,0.22,Matches
Mathis Amougou,22,frFRA,MF,Chelsea,19-096,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mathys Tel,499,frFRA,FW,Tottenham,19-362,2005,8,6,492,5.5,2,0,2,1,1,1,0,0,2.1,1.3,0.9,2.2,14,12,45,0.37,0.00,0.37,0.18,0.18,0.38,0.17,0.55,0.24,0.41,Matches
Mats Wieffer,548,nlNED,"MF,DF",Brighton,25-159,1999,20,5,602,6.7,1,2,3,1,0,0,4,0,0.5,0.5,1.3,1.8,6,40,10,0.15,0.30,0.45,0.15,0.45,0.08,0.19,0.27,0.08,0.27,Matches
Matt Doherty,140,ieIRL,DF,Wolves,33-098,1992,26,21,"1,818",20.2,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.5,29,73,39,0.10,0.05,0.15,0.10,0.15,0.05,0.08,0.13,0.05,0.13,Matches
Matt O'Riley,383,dkDEN,MF,Brighton,24-154,2000,16,8,677,7.5,1,1,2,1,0,0,1,0,1.9,1.9,1.3,3.2,16,29,40,0.13,0.13,0.27,0.13,0.27,0.26,0.17,0.43,0.26,0.43,Matches
Matt Targett,494,engENG,DF,Newcastle Utd,29-218,1995,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matthijs de Ligt,302,nlNED,DF,Manchester Utd,25-255,1999,28,24,"2,089",23.2,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,Matches
Matty Cash,88,plPOL,DF,Aston Villa,27-260,1997,23,20,"1,710",19.0,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,44,38,70,0.05,0.05,0.11,0.05,0.11,0.02,0.06,0.07,0.02,0.07,Matches
Matz Sels,458,beBEL,GK,Nott'ham Forest,33-057,1992,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Max Aarons,1,engENG,DF,Bournemouth,25-110,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Max Kilman,279,engENG,DF,West Ham,27-336,1997,33,33,"2,898",32.2,0,1,1,0,0,0,4,0,1.4,1.4,1.1,2.6,28,103,5,0.00,0.03,0.03,0.00,0.03,0.04,0.04,0.08,0.04,0.08,Matches
Maxence Lacroix,291,frFRA,DF,Crystal Palace,25-018,2000,31,31,"2,756",30.6,1,1,2,1,0,0,5,0,2.8,2.8,0.8,3.6,8,59,7,0.03,0.03,0.07,0.03,0.07,0.09,0.02,0.12,0.09,0.12,Matches
Maxwel Cornet,109,ciCIV,FW,Southampton,28-209,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
Michael Kayode,272,itITA,DF,Brentford,20-288,2004,7,1,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,2,10,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
Michael Keane,273,engENG,DF,Everton,32-103,1993,11,9,852,9.5,2,0,2,2,0,0,5,0,0.4,0.4,0.1,0.5,1,12,3,0.21,0.00,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches
Michail Antonio,27,jmJAM,FW,West Ham,35-027,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
Micky van de Ven,528,nlNED,DF,Tottenham,24-005,2001,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16,Matches
Miguel Almirón,17,pyPAR,FW,Newcastle Utd,31-073,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches
Mikel Merino,342,esESP,"MF,FW",Arsenal,28-306,1996,25,15,"1,401",15.6,6,2,8,6,0,0,2,0,4.4,4.4,1.9,6.3,9,61,86,0.39,0.13,0.51,0.39,0.51,0.28,0.12,0.40,0.28,0.40,Matches
Mikey Moore,353,engENG,"FW,MF",Tottenham,17-256,2007,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0.00,0.49,0.49,0.00,0.49,0.10,0.16,0.26,0.10,0.26,Matches
Mikkel Damsgaard,118,dkDEN,"MF,FW",Brentford,24-295,2000,33,29,"2,495",27.7,2,10,12,2,0,0,2,0,2.6,2.6,7.3,9.9,62,204,115,0.07,0.36,0.43,0.07,0.43,0.09,0.26,0.36,0.09,0.36,Matches
Milos Kerkez,276,huHUN,DF,Bournemouth,21-168,2003,33,33,"2,897",32.2,2,5,7,2,0,0,4,0,0.5,0.5,3.3,3.8,89,141,161,0.06,0.16,0.22,0.06,0.22,0.02,0.10,0.12,0.01,0.12,Matches
Mohamed Salah,443,egEGY,FW,Liverpool,32-313,1992,33,33,"2,921",32.5,27,18,45,18,9,9,1,0,23.7,16.7,12.1,28.8,138,127,407,0.83,0.55,1.39,0.55,1.11,0.73,0.37,1.10,0.51,0.89,Matches
Mohammed Kudus,289,ghGHA,"FW,MF",West Ham,24-265,2000,27,27,"2,241",24.9,3,2,5,3,0,0,1,1,6.2,6.2,2.3,8.5,87,71,189,0.12,0.08,0.20,0.12,0.20,0.25,0.09,0.34,0.25,0.34,Matches
Moisés Caicedo,79,ecECU,MF,Chelsea,23-173,2001,33,33,"2,901",32.2,1,2,3,1,0,0,10,0,0.7,0.7,2.9,3.6,37,188,32,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches
Morato,354,brBRA,DF,Nott'ham Forest,23-298,2001,23,5,799,8.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,14,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Morgan Gibbs-White,196,engENG,MF,Nott'ham Forest,25-087,2000,29,29,"2,377",26.4,5,7,12,5,0,0,9,1,4.6,4.6,4.4,9.0,63,139,115,0.19,0.27,0.45,0.19,0.45,0.18,0.17,0.34,0.18,0.34,Matches
Morgan Rogers,438,engENG,"FW,MF",Aston Villa,22-272,2002,33,33,"2,763",30.7,8,8,16,8,0,0,9,0,6.1,6.1,6.9,13.0,102,113,171,0.26,0.26,0.52,0.26,0.52,0.20,0.22,0.42,0.20,0.42,Matches
Murillo,365,brBRA,DF,Nott'ham Forest,22-294,2002,32,32,"2,838",31.5,1,0,1,1,0,0,5,0,1.2,1.2,1.1,2.3,19,100,4,0.03,0.00,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,Matches
Mykhailo Mudryk,360,uaUKR,FW,Chelsea,24-109,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches
Myles Lewis-Skelly,301,engENG,DF,Arsenal,18-210,2006,19,12,"1,078",12.0,1,0,1,1,0,0,2,2,0.1,0.1,0.3,0.5,29,57,32,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Nasser Djiga,139,bfBFA,"DF,FW",Wolves,22-160,2002,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Aké,12,nlNED,DF,Manchester City,30-065,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Nathan Broadhead,69,wlsWAL,"MF,FW",Ipswich Town,27-019,1998,16,6,605,6.7,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,17,12,27,0.15,0.00,0.15,0.15,0.15,0.22,0.10,0.32,0.22,0.32,Matches
Nathan Butler-Oyedeji,78,engENG,FW,Arsenal,22-110,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,Matches
Nathan Collins,105,ieIRL,DF,Brentford,23-359,2001,33,33,"2,970",33.0,2,2,4,2,0,0,5,0,2.5,2.5,1.5,4.0,25,112,18,0.06,0.06,0.12,0.06,0.12,0.08,0.05,0.12,0.08,0.12,Matches
Nathan Patterson,404,sctSCO,"DF,FW",Everton,23-190,2001,8,1,203,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.18,0.03,0.18,Matches
Nathan Wood-Gordon,558,engENG,DF,Southampton,22-328,2002,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
Nathaniel Clyne,102,engENG,"DF,MF",Crystal Palace,34-019,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Neco Williams,549,wlsWAL,DF,Nott'ham Forest,24-011,2001,30,23,"2,144",23.8,1,2,3,1,0,0,5,0,2.2,2.2,1.4,3.6,54,70,81,0.04,0.08,0.13,0.04,0.13,0.09,0.06,0.15,0.09,0.15,Matches
Neto,373,brBRA,GK,Bournemouth,35-279,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nick Pope,414,engENG,GK,Newcastle Utd,33-005,1992,23,23,"2,070",23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Niclas Füllkrug,189,deGER,FW,West Ham,32-074,1993,13,4,544,6.0,3,2,5,3,0,0,2,0,1.9,1.9,1.9,3.8,5,9,21,0.50,0.33,0.83,0.50,0.83,0.32,0.31,0.63,0.32,0.63,Matches
Nico O’Reilly,398,engENG,DF,Manchester City,20-034,2005,7,5,456,5.1,2,0,2,2,0,0,0,0,1.2,1.2,0.4,1.5,15,13,23,0.39,0.00,0.39,0.39,0.39,0.23,0.07,0.30,0.23,0.30,Matches
Nicolas Jackson,250,snSEN,FW,Chelsea,23-308,2001,27,25,"2,025",22.5,9,5,14,9,0,0,7,0,12.1,12.1,4.3,16.4,44,35,114,0.40,0.22,0.62,0.40,0.62,0.54,0.19,0.73,0.54,0.73,Matches
Nicolás Domínguez,142,arARG,"MF,FW",Nott'ham Forest,26-300,1998,29,19,"1,624",18.0,0,1,1,0,0,0,8,0,1.4,1.4,1.3,2.7,12,63,24,0.00,0.06,0.06,0.00,0.06,0.08,0.07,0.15,0.08,0.15,Matches
Nicolás González,205,esESP,MF,Manchester City,23-111,2002,8,8,647,7.2,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,5,46,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Nikola Milenković,344,rsSRB,DF,Nott'ham Forest,27-194,1997,32,32,"2,880",32.0,4,2,6,4,0,0,4,0,3.6,3.6,0.8,4.4,3,47,6,0.12,0.06,0.19,0.12,0.19,0.11,0.03,0.14,0.11,0.14,Matches
Noni Madueke,314,engENG,FW,Chelsea,23-045,2002,27,22,"1,646",18.3,7,3,10,7,0,0,3,0,7.9,7.9,3.9,11.8,124,60,198,0.38,0.16,0.55,0.38,0.55,0.43,0.21,0.65,0.43,0.65,Matches
Noussair Mazraoui,332,maMAR,DF,Manchester Utd,27-161,1997,33,30,"2,565",28.5,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,36,102,47,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07,Matches
Nélson Semedo,459,ptPOR,DF,Wolves,31-159,1993,29,28,"2,488",27.6,0,4,4,0,0,0,7,0,0.8,0.8,2.6,3.4,61,66,103,0.00,0.14,0.14,0.00,0.14,0.03,0.09,0.12,0.03,0.12,Matches
Odsonne Édouard,155,frFRA,"MF,FW",Crystal Palace,27-098,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-198,1996,30,30,"2,569",28.5,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
Oleksandr Zinchenko,565,uaUKR,"DF,MF",Arsenal,28-130,1996,12,4,450,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,35,12,0.00,0.20,0.20,0.00,0.20,0.05,0.03,0.08,0.05,0.08,Matches
Oliver Scarles,452,engENG,DF,West Ham,19-133,2005,14,6,594,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,21,39,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Oliver Skipp,470,engENG,MF,Leicester City,24-220,2000,19,7,862,9.6,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,15,25,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Ollie Watkins,541,engENG,FW,Aston Villa,29-115,1995,34,27,"2,263",25.1,15,7,22,13,2,2,2,0,14.5,13.0,2.9,15.9,50,28,143,0.60,0.28,0.87,0.52,0.80,0.58,0.12,0.70,0.52,0.63,Matches
Omar Marmoush,324,egEGY,"FW,MF",Manchester City,26-076,1999,12,11,916,10.2,6,0,6,6,0,0,0,0,4.7,4.7,1.7,6.4,20,26,63,0.59,0.00,0.59,0.59,0.59,0.46,0.17,0.63,0.46,0.63,Matches
Omari Hutchinson,242,engENG,"MF,FW",Ipswich Town,21-176,2003,27,26,"2,223",24.7,3,2,5,3,0,0,5,0,2.3,2.3,2.5,4.8,71,69,131,0.12,0.08,0.20,0.12,0.20,0.09,0.10,0.19,0.09,0.19,Matches
