Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jean-Clair Todibo,506,frFRA,DF,West Ham,25-115,1999,15.5,712,813,87.6,12639,4423,259,279,92.8,413,436,94.7,37,82,45.1,0,0.0,0.1,0.0,2,37,1,0,27,Matches
Jean-Philippe Mateta,329,frFRA,FW,Crystal Palace,27-300,1997,27.1,269,414,65.0,3557,924,165,216,76.4,75,120,62.5,7,22,31.8,2,3.1,2.2,-1.1,27,31,15,2,46,Matches
Jean-Ricner Bellegarde,51,frFRA,"MF,FW",Wolves,26-301,1998,16.4,401,505,79.4,6195,1211,234,261,89.7,126,156,80.8,30,51,58.8,6,3.6,2.5,+2.4,26,27,15,7,35,Matches
Jefferson Lerma,298,coCOL,"MF,DF",Crystal Palace,30-181,1994,22.6,775,1026,75.5,13637,4683,362,417,86.8,318,391,81.3,77,165,46.7,1,1.5,1.6,-0.5,9,83,17,2,86,Matches
Jeffrey Schlupp,456,ghGHA,"MF,DF",Crystal Palace,32-122,1992,1.1,39,50,78.0,591,144,16,19,84.2,18,23,78.3,2,4,50.0,0,0.2,0.1,-0.2,3,4,2,0,5,Matches
Jens Cajuste,81,seSWE,MF,Ipswich Town,25-257,1999,19.7,572,694,82.4,9440,1907,262,295,88.8,269,314,85.7,28,56,50.0,0,0.6,0.6,-0.6,11,45,5,1,46,Matches
Jeremy Doku,141,beBEL,"FW,MF",Manchester City,22-332,2002,14.5,517,650,79.5,7264,1313,341,393,86.8,158,193,81.9,12,18,66.7,5,3.9,3.3,+1.1,25,10,41,5,62,Matches
Jeremy Monga,352,N/a,FW,Leicester City,N/a,N/a,0.3,5,8,62.5,66,28,2,3,66.7,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Jeremy Sarmiento,449,ecECU,MF,Brighton,22-312,2002,0.1,6,6,100.0,74,1,4,4,100.0,2,2,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jesper Lindstrøm,305,dkDEN,FW,Everton,25-054,2000,13.8,297,428,69.4,4593,1335,194,225,86.2,65,99,65.7,29,65,44.6,1,2.0,2.0,-1.0,19,18,12,7,25,Matches
Joachim Andersen,23,dkDEN,DF,Crystal Palace,28-328,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4,Matches
Joe Aribo,32,ngNGA,"MF,DF",Southampton,28-277,1996,21.2,878,992,88.5,13041,2506,480,526,91.3,341,375,90.9,31,45,68.9,0,1.6,1.2,-1.6,16,50,4,1,71,Matches
