Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Mason Holgate,238,engENG,"FW,DF",Everton,28-184,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mason Mount,358,engENG,"MF,FW",Manchester Utd,26-104,1999,3.9,11,2.84,7,2,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Massimo Luongo,310,auAUS,MF,Ipswich Town,32-211,1992,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mateo Kovačić,286,hrCRO,MF,Manchester City,30-353,1994,21.8,59,2.71,48,0,3,4,3,1,6,0.28,4,0,1,1,0,0,Matches
Mateus Fernandes,179,ptPOR,MF,Southampton,20-288,2004,27.8,68,2.45,39,12,4,6,6,1,6,0.22,4,1,0,0,0,1,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-332,1999,25.0,107,4.27,58,11,16,7,12,3,13,0.52,7,0,4,0,1,1,Matches
Matheus França,186,brBRA,"FW,MF",Crystal Palace,21-023,2004,0.3,1,3.46,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Matheus Nunes,378,ptPOR,"DF,MF",Manchester City,26-240,1998,15.6,39,2.50,32,1,2,2,2,0,6,0.38,4,0,1,1,0,0,Matches
Mathias Jensen,255,dkDEN,MF,Brentford,29-113,1996,8.6,37,4.32,26,10,1,0,0,0,4,0.47,1,2,1,0,0,0,Matches
Mathis Amougou,22,frFRA,MF,Chelsea,19-096,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mathys Tel,499,frFRA,FW,Tottenham,19-362,2005,5.5,15,2.75,10,1,1,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Mats Wieffer,548,nlNED,"MF,DF",Brighton,25-159,1999,6.7,22,3.28,21,0,0,1,0,0,3,0.45,3,0,0,0,0,0,Matches
Matt Doherty,140,ieIRL,DF,Wolves,33-098,1992,20.2,24,1.19,18,3,1,1,1,0,3,0.15,3,0,0,0,0,0,Matches
Matt O'Riley,383,dkDEN,MF,Brighton,24-154,2000,7.5,29,3.86,17,6,1,2,1,2,4,0.53,3,0,0,0,1,0,Matches
Matt Targett,494,engENG,DF,Newcastle Utd,29-218,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthijs de Ligt,302,nlNED,DF,Manchester Utd,25-255,1999,23.2,14,0.60,12,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Matty Cash,88,plPOL,DF,Aston Villa,27-260,1997,19.0,22,1.16,20,1,1,0,0,0,2,0.11,2,0,0,0,0,0,Matches
Matz Sels,458,beBEL,GK,Nott'ham Forest,33-057,1992,33.0,5,0.15,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Max Aarons,1,engENG,DF,Bournemouth,25-110,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Max Kilman,279,engENG,DF,West Ham,27-336,1997,32.2,26,0.81,24,0,2,0,0,0,3,0.09,2,0,1,0,0,0,Matches
Maxence Lacroix,291,frFRA,DF,Crystal Palace,25-018,2000,30.6,26,0.85,21,1,0,4,0,0,4,0.13,2,1,0,1,0,0,Matches
Maxwel Cornet,109,ciCIV,FW,Southampton,28-209,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Michael Kayode,272,itITA,DF,Brentford,20-288,2004,1.4,4,2.81,2,2,0,0,0,0,1,0.70,1,0,0,0,0,0,Matches
Michael Keane,273,engENG,DF,Everton,32-103,1993,9.5,6,0.63,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Michail Antonio,27,jmJAM,FW,West Ham,35-027,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
