Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-145,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-111,2004,24.7,2,39,10,25.6,1.58,0.40,0.05,0.20,24.9,1,0,0,3.0,3.0,0.08,-1.0,-1.0,Matches
Carlos Forbs,184,ptPOR,"MF,FW",Wolves,21-036,2004,2.6,0,2,0,0.0,0.76,0.00,0.00,N/a,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Carlos Soler,475,esESP,"MF,FW",West Ham,28-112,1997,15.0,1,24,7,29.2,1.60,0.47,0.04,0.14,19.1,1,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
Carlos Vinícius,532,brBRA,"FW,MF",Fulham,30-030,1995,0.1,0,1,1,100.0,8.18,8.18,0.00,0.00,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-060,1992,14.1,1,27,8,29.6,1.91,0.57,0.04,0.13,19.3,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
Chadi Riad,428,maMAR,DF,Crystal Palace,21-311,2003,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Charlie Taylor,497,engENG,DF,Southampton,31-218,1993,3.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Cheick Doucouré,146,mlMLI,MF,Crystal Palace,25-106,2000,5.0,0,7,0,0.0,1.39,0.00,0.00,N/a,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Chidozie Obi-Martin,385,dkDEN,FW,Manchester Utd,17-146,2007,0.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Chiedozie Ogbene,387,ieIRL,FW,Ipswich Town,27-358,1997,2.6,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-078,2000,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Chris Richards,430,usUSA,DF,Crystal Palace,25-027,2000,17.4,1,10,5,50.0,0.58,0.29,0.10,0.20,11.8,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
Chris Wood,557,nzNZL,FW,Nott'ham Forest,33-138,1991,27.9,19,51,30,58.8,1.83,1.08,0.31,0.53,14.5,0,3,3,11.1,8.8,0.17,+7.9,+7.2,Matches
Christian Eriksen,165,dkDEN,MF,Manchester Utd,33-069,1992,11.0,0,8,1,12.5,0.73,0.09,0.00,0.00,26.2,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Christian Nørgaard,381,dkDEN,MF,Brentford,31-045,1994,26.3,5,33,11,33.3,1.25,0.42,0.15,0.45,14.9,0,0,0,3.6,3.6,0.11,+1.4,+1.4,Matches
Christian Walton,535,engENG,GK,Ipswich Town,29-166,1995,6.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Christopher Nkunku,376,frFRA,FW,Chelsea,27-161,1997,10.2,3,25,11,44.0,2.44,1.07,0.12,0.27,12.6,0,0,0,4.8,4.8,0.19,-1.8,-1.8,Matches
Cody Gakpo,190,nlNED,FW,Liverpool,25-352,1999,17.3,8,47,19,40.4,2.71,1.10,0.17,0.42,15.2,0,0,0,6.2,6.2,0.13,+1.8,+1.8,Matches
Cole Palmer,400,engENG,MF,Chelsea,22-353,2002,30.5,14,111,40,36.0,3.64,1.31,0.10,0.28,20.3,12,3,4,15.8,12.7,0.11,-1.8,-1.7,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-289,2003,5.9,0,9,3,33.3,1.52,0.51,0.00,0.00,14.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-067,1997,6.9,1,12,3,25.0,1.73,0.43,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
Conor Coady,103,engENG,DF,Leicester City,32-058,1993,14.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Conor Townsend,511,engENG,DF,Ipswich Town,32-051,1993,3.7,0,1,0,0.0,0.27,0.00,0.00,N/a,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Craig Dawson,124,engENG,DF,Wolves,34-353,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
Cristian Romero,439,arARG,DF,Tottenham,26-362,1998,15.7,1,16,8,50.0,1.02,0.51,0.06,0.13,9.1,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
Crysencio Summerville,491,nlNED,"FW,MF",West Ham,23-176,2001,8.7,1,14,4,28.6,1.60,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
Curtis Jones,264,engENG,"MF,DF",Liverpool,24-084,2001,15.7,3,29,12,41.4,1.84,0.76,0.10,0.25,15.6,0,0,0,4.1,4.1,0.14,-1.1,-1.1,Matches
Daichi Kamada,270,jpJPN,MF,Crystal Palace,28-262,1996,14.9,0,17,4,23.5,1.14,0.27,0.00,0.00,19.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,32-350,1992,32.0,0,19,4,21.1,0.59,0.12,0.00,0.00,10.4,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Dane Scarlett,453,engENG,"FW,MF",Tottenham,21-031,2004,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Dango Ouattara,397,bfBFA,FW,Bournemouth,23-072,2002,20.5,7,59,20,33.9,2.88,0.98,0.12,0.35,13.4,0,0,0,8.2,8.2,0.14,-1.2,-1.2,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-285,1993,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Daniel Jebbison,254,engENG,FW,Bournemouth,21-254,2003,0.8,0,2,1,50.0,2.40,1.20,0.00,0.00,12.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Daniel Muñoz,363,coCOL,DF,Crystal Palace,28-333,1996,31.9,4,32,12,37.5,1.00,0.38,0.13,0.33,12.3,0,0,0,4.6,4.6,0.14,-0.6,-0.6,Matches
Daniel Podence,412,ptPOR,"MF,FW",Wolves,29-185,1995,0.5,0,1,0,0.0,1.87,0.00,0.00,N/a,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,23-360,2001,3.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Danny Ings,245,engENG,"FW,MF",West Ham,32-275,1992,3.2,1,14,5,35.7,4.44,1.58,0.07,0.20,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
Danny Ward,537,wlsWAL,GK,Leicester City,31-306,1993,1.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Danny Welbeck,543,engENG,FW,Brighton,34-149,1990,19.6,9,52,20,38.5,2.66,1.02,0.17,0.45,15.1,8,0,0,8.0,8.0,0.15,+1.0,+1.0,Matches
Dara O'Shea,384,ieIRL,DF,Ipswich Town,26-051,1999,29.7,0,19,2,10.5,0.64,0.07,0.00,0.00,13.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Darwin Núñez,379,uyURU,FW,Liverpool,25-304,1999,11.2,5,31,12,38.7,2.76,1.07,0.16,0.42,14.3,0,0,0,5.0,5.0,0.16,0.0,0.0,Matches
